Study Hours,Attendance,Marks
3.25,66.46,51.76
12.45,77.0,98.92
12.65,73.33,95.43
8.1,99.4,93.09
1.09,57.52,41.66
5.02,61.4,59.42
9.64,57.38,81.49
14.74,83.16,100.0
9.85,57.45,69.97
4.64,92.64,76.96
9.88,78.04,98.67
8.56,78.72,89.87
11.92,80.27,98.05
2.5,62.69,38.06
11.65,63.9,84.89
8.58,69.35,69.14
14.48,81.71,100.0
5.79,64.46,69.19
9.86,60.23,78.69
14.05,98.66,100.0
2.44,55.99,47.05
14.12,91.12,100.0
10.63,90.46,100.0
1.95,68.37,53.9
5.21,61.1,55.96
10.91,61.55,82.46
1.94,86.38,56.39
9.15,83.93,85.98
5.84,90.22,68.54
9.69,97.19,100.0
1.64,86.14,57.35
13.2,62.01,97.79
14.63,65.95,99.81
14.56,92.9,100.0
11.5,64.42,90.22
2.82,58.26,40.74
11.62,86.65,99.7
1.34,73.11,48.39
1.31,96.4,58.42
5.53,84.26,76.67
7.84,59.07,63.79
11.79,97.65,100.0
10.57,66.64,89.94
7.24,70.17,73.54
4.83,73.1,68.37
14.96,57.31,100.0
6.97,77.34,82.74
7.32,60.55,69.57
3.29,73.04,58.29
12.13,70.78,94.41
10.71,89.78,98.52
4.09,91.14,70.58
2.15,61.9,49.78
10.53,71.49,92.03
10.16,71.8,86.3
4.83,61.81,61.92
14.31,90.93,100.0
3.11,86.83,51.88
7.05,63.57,70.46
14.21,71.5,100.0
6.88,59.76,67.29
9.94,83.27,91.65
6.57,60.46,65.92
4.84,99.37,69.81
14.78,90.13,100.0
6.73,72.56,74.91
13.52,81.04,100.0
4.22,96.01,79.17
3.98,79.93,61.11
1.44,62.85,39.98
10.12,72.04,79.02
6.16,92.94,74.61
13.1,83.99,100.0
7.62,84.28,85.52
14.55,94.01,100.0
3.6,95.23,69.58
13.16,96.39,100.0
11.87,59.27,88.11
11.79,79.49,99.95
12.83,88.32,100.0
11.65,89.06,100.0
9.77,82.3,81.46
2.84,62.51,44.2
1.46,90.88,50.32
13.89,87.41,100.0
9.63,58.88,79.69
12.15,75.87,100.0
7.74,62.83,71.28
2.64,70.19,53.28
2.75,55.81,44.55
10.6,73.01,88.02
7.02,79.74,72.68
3.81,82.88,62.04
7.88,84.86,84.71
1.9,92.63,62.8
9.15,64.7,84.04
4.77,60.42,51.33
12.17,93.32,100.0
5.35,62.05,61.1
7.37,98.86,91.64
1.16,92.91,56.97
2.01,77.54,48.52
6.49,99.16,75.79
7.72,59.38,63.29
9.4,68.64,82.68
5.08,83.72,68.99
10.73,70.75,83.53
13.04,96.78,100.0
11.92,57.95,91.72
1.55,79.72,41.88
7.73,81.59,84.95
2.47,84.37,52.64
4.39,66.5,61.48
14.81,71.41,100.0
2.99,92.97,56.32
7.98,63.77,69.52
9.65,92.21,93.9
10.83,80.32,92.39
8.84,89.3,87.74
1.14,87.11,50.91
5.57,64.34,59.17
8.25,80.6,81.21
2.23,94.05,49.63
5.91,74.45,68.72
1.46,98.5,56.13
2.1,75.35,56.23
6.56,61.43,58.8
2.86,72.52,41.51
8.95,97.83,96.73
10.65,69.39,89.69
12.21,94.06,100.0
3.8,94.66,58.69
3.34,70.76,59.79
2.46,58.75,48.76
9.91,87.61,80.92
10.89,69.02,86.67
1.44,90.23,60.65
14.11,74.92,100.0
1.73,76.84,44.6
8.58,90.01,86.48
10.93,72.21,85.13
13.19,74.94,94.91
11.0,71.93,96.21
12.22,71.53,87.67
5.75,78.67,69.33
12.41,91.4,100.0
2.12,71.28,38.99
13.53,78.59,100.0
8.67,85.18,91.99
12.44,67.12,98.44
7.33,67.49,67.32
10.01,97.0,100.0
8.37,87.56,91.66
11.24,80.97,98.04
2.14,84.15,48.29
1.84,56.32,35.32
4.46,82.81,65.14
3.23,77.93,54.19
13.2,79.56,100.0
4.07,71.17,48.28
14.66,58.67,95.17
5.72,63.7,61.34
3.55,97.78,64.18
12.06,73.39,93.84
10.22,76.0,80.27
7.97,57.37,68.66
8.78,56.69,71.96
11.07,87.27,100.0
4.2,79.21,60.94
14.95,77.89,100.0
14.65,65.94,100.0
10.1,88.51,88.22
3.79,62.57,52.94
10.52,63.55,76.03
2.01,75.73,43.73
1.43,67.88,35.02
4.61,66.14,60.02
7.48,84.04,79.07
13.16,84.29,100.0
11.18,92.1,96.42
11.4,73.8,92.39
6.96,58.29,60.11
5.84,67.31,64.79
6.19,99.1,75.57
14.83,81.83,100.0
1.56,86.94,42.9
13.14,55.33,89.33
9.1,78.32,93.05
7.14,56.69,61.87
11.15,80.62,89.5
7.81,96.43,88.38
13.23,98.58,100.0
13.61,79.32,100.0
6.9,75.62,66.85
4.88,97.53,86.98
9.29,85.31,87.86
13.77,57.92,88.2
3.95,75.96,65.19
9.72,65.81,84.57
9.84,76.14,83.45
11.26,75.5,89.4
2.84,81.2,58.18
11.02,71.05,89.4
13.73,62.39,90.2
3.52,77.67,65.35
4.33,92.36,65.64
14.6,84.88,100.0
3.53,70.23,59.17
12.96,97.1,100.0
7.89,96.05,92.65
4.46,64.42,51.26
13.19,56.77,85.01
7.23,88.36,78.23
8.21,92.24,89.15
6.03,98.55,77.11
9.3,95.04,92.49
3.29,82.02,63.18
6.48,78.85,72.33
14.57,56.25,96.77
4.61,66.1,59.63
10.19,75.68,89.8
5.55,83.28,56.8
11.83,80.08,100.0
2.83,88.42,60.33
14.58,67.59,100.0
7.35,80.42,81.44
4.3,58.97,47.64
2.03,73.61,48.63
3.38,88.76,53.43
8.28,86.2,86.52
5.72,99.58,88.14
12.6,67.51,91.8
7.03,77.42,70.07
4.48,69.83,53.77
9.64,74.83,86.26
10.89,93.56,95.94
3.34,85.79,61.69
3.35,94.71,68.32
1.51,64.16,42.32
11.31,94.3,94.86
10.29,57.69,85.29
7.64,94.99,90.4
12.82,69.81,100.0
12.28,69.16,97.84
9.19,78.04,86.1
13.16,97.33,100.0
3.88,57.15,57.6
2.57,70.85,43.49
4.78,93.55,76.05
1.8,72.82,44.98
8.44,63.96,73.51
14.11,74.12,99.94
1.55,72.35,42.51
2.71,96.19,56.66
7.33,89.29,78.98
14.07,77.73,100.0
5.43,99.48,74.62
8.1,75.94,76.44
1.58,57.62,37.2
3.08,66.8,40.71
14.81,74.62,100.0
14.51,62.06,100.0
1.07,97.64,50.18
14.33,89.51,100.0
9.95,67.07,84.4
13.15,81.59,100.0
7.37,87.47,87.62
8.22,97.36,88.22
7.84,94.67,83.68
10.34,78.18,95.13
2.96,89.86,62.25
1.42,80.3,46.31
5.31,79.87,73.45
10.87,60.16,83.35
3.83,60.68,49.63
10.43,78.83,91.66
14.58,67.1,100.0
2.31,55.95,39.93
10.42,87.53,100.0
7.21,56.46,66.52
13.15,81.79,100.0
3.48,79.26,56.22
10.7,98.6,100.0
12.73,76.79,100.0
14.22,57.86,100.0
10.57,79.83,91.08
7.96,92.85,87.85
9.65,99.86,100.0
13.16,74.37,97.97
8.99,69.41,80.49
1.43,95.8,44.22
14.03,63.61,100.0
10.65,82.69,97.92
10.47,73.26,92.72
4.02,56.85,46.55
10.22,70.63,87.98
6.51,66.94,73.16
10.12,85.87,100.0
2.49,97.7,61.16
10.21,67.06,85.28
14.99,91.52,100.0
1.67,57.49,29.62
14.68,79.22,100.0
6.7,58.17,69.25
13.19,97.03,100.0
11.95,89.49,100.0
8.94,84.61,79.47
11.34,92.08,100.0
13.3,84.14,100.0
6.66,98.6,84.25
5.58,87.13,67.41
10.35,96.61,94.91
12.31,78.27,90.36
11.67,60.27,94.6
12.17,78.77,98.23
7.1,60.71,66.63
12.45,81.66,100.0
2.68,76.71,46.43
8.62,83.02,78.33
1.08,55.45,28.1
5.54,63.77,55.99
6.13,77.11,71.04
6.55,97.77,77.64
10.74,72.26,98.55
6.44,74.1,74.38
7.28,87.16,84.03
4.33,82.17,62.12
6.23,68.45,72.92
4.18,73.49,56.56
2.02,64.8,42.37
9.45,98.47,97.33
10.35,60.88,85.72
9.67,71.73,87.42
7.49,56.16,63.15
6.32,64.98,61.41
13.09,90.12,100.0
8.27,64.05,76.94
7.71,58.6,65.88
1.36,76.35,37.03
5.78,55.45,55.58
6.32,58.81,64.14
6.58,91.34,87.62
9.12,89.72,84.48
8.47,96.18,88.31
9.51,93.45,92.33
11.71,85.74,100.0
12.38,57.35,90.41
11.05,90.23,95.85
14.38,93.05,100.0
1.26,90.96,49.73
3.74,77.88,51.52
1.11,65.48,33.81
10.06,93.04,100.0
13.57,87.72,100.0
4.41,99.13,72.15
13.98,62.01,99.65
1.84,65.15,43.26
14.08,64.53,100.0
5.92,90.66,76.41
2.42,63.41,44.38
7.8,58.0,72.35
4.59,99.94,73.06
4.99,56.12,48.11
5.3,92.59,69.74
12.24,71.44,87.04
8.55,92.87,99.31
5.36,79.96,71.08
9.54,95.57,91.36
11.03,96.68,100.0
4.82,55.41,48.6
6.79,58.39,70.86
2.71,66.27,39.57
3.54,85.12,60.81
10.54,94.97,99.62
3.54,75.7,59.68
8.35,82.31,82.4
10.93,63.48,77.58
2.5,91.22,56.84
8.94,98.53,89.12
4.59,67.09,56.9
14.48,77.27,100.0
7.77,58.88,59.59
12.28,80.16,97.5
8.7,77.63,79.57
1.61,61.5,36.88
9.86,74.89,90.47
14.32,70.03,100.0
9.42,78.48,88.43
12.47,81.35,99.89
13.38,55.38,95.74
4.19,89.25,69.48
3.97,87.09,59.72
9.55,71.48,87.42
6.75,57.38,62.72
12.76,88.97,100.0
13.6,97.98,100.0
5.95,65.81,64.55
4.32,69.56,56.16
11.93,63.27,90.79
4.85,80.96,66.01
12.52,61.97,96.25
6.93,71.03,63.93
10.35,86.37,100.0
2.34,80.21,42.49
9.73,72.39,81.44
7.32,73.91,73.11
9.21,80.29,88.27
3.35,55.26,52.27
11.32,58.53,76.56
13.08,94.66,100.0
4.03,58.5,38.79
2.34,86.81,55.26
1.33,96.4,56.21
9.99,67.18,91.48
9.5,71.67,83.94
8.65,80.6,88.79
4.25,94.68,71.49
6.47,97.39,78.88
9.32,88.28,83.71
7.95,58.9,70.6
14.83,85.11,100.0
2.91,73.46,57.76
10.73,76.18,90.94
6.66,57.21,67.88
6.99,63.6,64.37
11.05,90.57,100.0
10.69,75.43,92.23
14.88,68.57,100.0
2.8,72.28,47.96
2.46,93.45,60.97
11.14,88.7,95.43
9.1,67.25,73.07
4.84,60.29,60.55
2.11,66.34,47.37
2.2,96.43,59.54
13.52,81.17,100.0
3.69,79.01,56.6
5.53,81.84,75.17
4.17,71.47,57.48
5.97,91.32,70.39
1.97,78.55,58.37
8.27,60.25,76.41
1.95,60.81,39.53
12.2,79.16,100.0
4.27,97.15,67.91
8.56,68.88,81.38
13.32,94.13,100.0
10.11,89.38,90.15
8.46,66.15,80.28
5.54,56.64,54.77
5.66,59.58,59.14
10.37,87.78,89.02
14.92,63.99,100.0
10.27,71.71,93.13
8.81,77.58,81.83
11.23,87.65,97.95
7.51,60.1,72.76
1.84,73.29,55.77
8.87,76.83,87.54
14.41,79.34,100.0
3.45,91.83,58.57
10.66,62.73,80.57
3.81,91.35,58.8
8.5,86.18,87.81
2.35,80.01,52.65
7.31,86.48,79.01
11.59,73.54,98.75
5.87,61.23,66.11
10.31,84.96,86.4
12.14,78.61,97.0
13.98,83.77,100.0
4.28,70.21,54.19
6.59,95.81,76.87
3.13,81.43,61.48
14.89,58.84,97.45
13.98,75.24,100.0
8.56,89.04,88.96
12.79,90.74,100.0
8.29,77.26,84.01
9.73,95.26,93.44
2.25,67.05,51.8
11.57,73.48,93.98
2.79,95.44,65.01
12.56,95.33,100.0
11.95,85.86,99.53
10.92,93.65,91.17
1.51,58.99,38.83
5.24,93.92,73.54
4.68,69.43,60.91
6.04,63.02,60.59
2.23,65.77,41.87
14.12,73.81,100.0
8.75,66.3,69.56
5.28,69.43,64.77
6.56,61.07,60.45
7.26,68.33,68.79
9.41,80.75,85.83
8.22,74.88,74.52
13.87,70.6,100.0
7.96,88.59,91.04
14.89,95.21,100.0
12.92,89.06,100.0
3.92,69.94,49.63
14.03,88.5,100.0
2.63,61.84,54.85
12.44,60.86,90.75
6.33,70.55,65.04
13.29,91.35,100.0
13.15,66.09,96.36
12.28,57.85,76.61
12.06,60.93,92.79
5.27,93.64,68.92
2.13,83.52,44.37
6.64,66.39,70.17
3.43,79.99,51.73
10.73,78.74,91.32
5.85,84.49,78.81
14.66,65.49,98.99
9.97,93.9,89.15
12.51,68.92,98.38
2.86,86.24,63.14
13.07,55.73,85.33
13.92,71.77,100.0
7.82,70.83,77.41
9.49,79.46,76.87
11.71,58.27,91.67
3.45,90.56,66.9
8.04,64.8,71.02
6.58,85.47,81.9
3.05,91.14,66.5
6.15,80.28,71.39
1.95,88.34,51.68
1.36,84.78,44.33
2.89,71.0,49.77
14.48,91.4,100.0
8.69,68.26,75.98
14.52,80.7,100.0
7.05,88.54,85.89
5.37,72.05,63.8
8.09,68.62,72.84
7.15,75.67,77.89
2.48,91.81,65.92
9.97,96.85,84.27
4.02,79.53,62.06
9.67,84.77,83.62
10.1,95.65,100.0
3.13,59.43,46.0
1.86,65.44,45.19
11.93,86.9,100.0
7.44,92.07,73.85
1.81,93.57,53.6
14.93,73.68,100.0
1.81,59.02,43.63
10.73,74.7,85.14
14.77,65.38,100.0
4.35,68.1,52.56
2.99,89.75,61.65
2.7,58.4,40.15
5.25,92.24,73.26
2.41,74.25,53.66
10.69,81.82,88.23
1.87,59.03,35.48
8.13,70.18,76.67
14.95,59.04,100.0
12.4,98.27,100.0
9.61,91.33,100.0
5.29,75.68,74.3
9.73,65.06,80.72
8.38,97.01,88.9
6.97,70.51,66.62
2.83,62.24,44.93
13.41,80.34,100.0
7.3,97.47,84.84
3.72,55.17,53.69
6.15,65.72,60.55
6.8,97.23,81.4
12.59,62.7,85.77
11.27,60.1,88.27
11.77,80.66,100.0
1.15,93.78,52.98
6.83,76.47,71.28
7.74,99.76,87.11
1.27,85.56,51.63
4.64,58.33,52.21
11.64,99.68,100.0
2.92,73.36,52.35
8.49,67.93,82.06
4.01,80.1,63.5
1.17,68.69,41.16
4.38,58.89,58.92
14.66,55.06,100.0
12.22,75.23,100.0
14.43,92.66,100.0
7.83,80.75,70.32
2.54,99.96,69.19
8.67,67.91,77.99
7.36,67.62,70.36
12.82,62.19,96.61
2.37,62.38,41.33
7.84,67.83,74.23
3.1,90.68,57.88
5.55,95.76,81.98
11.32,98.88,100.0
7.66,65.45,69.13
6.26,94.66,74.02
6.52,69.77,68.84
7.43,60.08,68.14
11.99,94.15,100.0
13.49,83.62,100.0
14.37,62.41,95.07
12.02,74.34,100.0
5.42,67.93,68.46
10.63,88.16,92.12
7.13,75.4,81.28
4.57,99.52,74.01
12.77,57.46,92.56
1.54,70.98,41.19
13.62,76.69,99.54
7.46,77.64,81.06
9.92,69.22,80.33
10.23,87.82,91.16
13.53,94.36,100.0
9.91,97.24,88.77
9.6,91.23,85.97
1.93,93.28,56.21
8.26,79.77,82.64
3.1,92.16,64.02
11.32,68.66,89.44
8.17,72.93,89.97
10.52,69.26,86.11
1.58,76.03,44.78
2.19,67.85,40.88
11.03,98.27,100.0
2.01,69.08,47.66
2.0,59.41,45.71
1.17,78.71,37.75
14.39,57.57,99.51
11.33,59.97,88.85
5.95,64.87,65.1
5.15,75.9,63.74
5.9,74.5,69.44
11.85,90.99,100.0
10.26,88.28,100.0
3.59,74.18,60.02
3.44,70.02,45.47
2.38,69.24,41.13
10.24,89.83,90.9
11.7,57.34,90.57
4.71,55.58,44.92
1.29,90.8,50.21
2.15,76.47,51.26
14.55,60.89,100.0
5.14,65.6,59.78
11.77,96.96,100.0
9.75,93.68,98.54
6.35,86.94,72.14
3.88,76.7,56.13
2.7,78.41,53.89
9.61,98.89,98.01
11.84,98.46,100.0
10.01,64.69,78.66
8.42,91.5,86.37
1.59,63.88,39.89
14.56,64.61,98.22
12.18,85.42,100.0
5.1,73.23,64.05
14.72,96.92,100.0
9.43,59.01,82.42
9.15,78.02,91.13
11.47,96.33,99.31
12.36,95.69,100.0
10.19,62.04,81.26
2.79,71.5,51.81
5.74,82.86,67.63
13.99,62.17,100.0
4.14,98.56,72.03
6.21,96.16,75.06
7.05,62.51,60.68
7.15,60.45,58.68
9.58,58.84,78.27
14.2,95.92,100.0
4.37,63.71,56.96
2.7,73.73,49.78
3.76,75.2,50.64
13.42,81.96,100.0
10.04,58.23,85.08
5.0,65.2,55.19
12.42,96.92,100.0
13.06,95.88,100.0
12.85,90.16,100.0
13.86,55.87,94.97
4.53,69.72,62.75
11.57,83.26,100.0
7.45,67.38,68.45
12.79,95.93,100.0
11.2,83.53,95.0
11.87,58.24,81.37
10.19,95.91,94.6
3.48,98.1,67.46
8.63,58.5,74.03
14.79,78.96,100.0
14.12,68.65,100.0
1.6,72.68,49.03
3.31,63.08,48.4
2.84,81.01,58.24
11.16,98.11,96.0
12.45,77.64,81.45
3.99,58.73,50.73
8.08,82.9,74.74
12.77,70.31,97.94
11.26,93.52,100.0
8.59,74.56,88.17
9.26,63.68,80.16
8.12,63.6,73.21
5.17,89.59,74.81
8.91,66.95,79.87
10.64,89.53,95.7
13.23,64.26,100.0
9.91,69.48,78.73
11.66,75.95,97.87
3.24,97.44,57.19
7.46,96.93,86.79
1.13,64.31,38.77
4.45,71.12,66.21
11.17,61.72,78.89
14.89,77.95,100.0
2.39,75.73,53.92
6.62,95.53,82.55
12.2,96.85,100.0
3.86,72.26,50.63
8.77,77.13,79.47
11.26,95.33,100.0
9.62,91.3,93.51
3.63,55.16,47.62
5.98,69.4,64.0
11.97,73.98,90.94
8.76,65.34,81.13
1.07,63.98,39.87
11.65,56.7,98.15
1.49,83.95,44.37
11.44,66.81,94.72
3.83,57.36,41.29
14.41,65.39,100.0
6.15,91.09,81.18
5.58,93.32,64.18
3.08,76.74,52.77
5.28,73.72,60.44
13.27,99.0,100.0
14.95,64.03,100.0
6.16,64.69,68.73
7.28,68.13,69.8
11.11,62.77,87.96
13.41,72.07,100.0
9.3,95.99,94.52
6.48,82.69,68.31
6.78,73.54,76.19
10.74,97.05,100.0
1.05,57.18,35.79
9.67,64.46,76.57
5.98,80.46,67.82
12.12,82.7,100.0
2.3,56.78,32.23
9.23,73.14,74.3
7.73,84.21,77.77
9.99,86.41,95.78
1.91,83.72,48.13
9.12,69.43,75.22
8.86,59.21,69.83
8.85,74.22,79.08
9.45,60.79,75.87
10.47,97.64,100.0
12.27,76.38,100.0
4.78,69.28,63.65
12.55,89.48,100.0
7.98,77.41,73.59
2.08,68.95,38.76
1.82,91.54,49.33
5.68,94.02,82.08
11.99,85.29,99.85
10.91,57.11,76.84
12.04,80.48,98.29
8.24,89.35,84.69
7.16,61.14,67.73
3.06,65.29,49.22
5.59,94.71,71.19
7.08,55.91,66.76
2.24,88.87,52.44
4.09,76.32,57.82
9.38,75.1,87.86
11.3,55.32,80.95
14.98,91.87,100.0
14.06,71.19,100.0
10.0,79.33,85.36
6.9,85.48,75.3
9.91,86.62,95.62
12.0,98.02,100.0
2.66,78.91,55.77
6.74,72.99,72.55
12.76,97.92,100.0
6.37,83.89,68.45
9.01,68.42,79.82
9.23,60.69,76.34
3.58,92.91,65.98
6.07,71.3,66.59
5.68,84.72,72.67
1.37,76.19,43.37
1.34,63.95,38.96
12.64,82.08,98.12
4.82,57.73,51.38
8.25,73.6,85.02
5.18,79.6,67.3
14.17,74.62,100.0
4.63,88.69,76.98
7.02,92.26,74.4
13.22,89.71,100.0
12.79,56.75,100.0
3.61,63.74,50.12
12.24,79.15,99.55
7.41,97.07,79.61
7.76,92.57,87.33
2.87,92.91,63.52
2.13,68.64,39.49
11.19,74.33,92.42
7.95,76.18,76.17
7.12,62.08,67.9
11.21,56.4,78.67
11.72,97.61,100.0
3.22,65.83,53.62
9.54,65.8,78.8
2.89,58.75,42.77
11.52,96.78,100.0
10.2,81.09,87.64
14.39,85.02,100.0
1.97,96.02,56.49
1.8,70.55,52.33
4.95,82.97,70.97
4.66,56.75,56.37
4.46,63.4,55.84
13.69,92.41,100.0
4.49,89.5,67.01
4.81,70.78,64.28
11.63,71.96,87.84
7.3,79.01,79.17
11.87,55.01,98.49
1.92,65.86,47.81
7.83,64.37,78.39
1.47,66.27,41.58
1.88,91.27,59.86
13.69,67.59,98.65
2.95,63.62,50.54
8.45,77.69,84.39
6.76,93.95,82.2
5.86,65.86,68.82
13.6,58.53,94.56
1.31,71.04,41.11
10.29,88.64,96.26
14.49,79.78,100.0
8.84,91.76,91.22
14.12,98.18,100.0
1.73,90.67,59.23
6.86,82.17,75.63
4.64,77.2,59.21
11.23,56.8,80.39
14.74,99.29,100.0
4.59,72.26,62.53
10.16,61.85,84.46
3.77,85.0,57.84
8.91,67.79,74.24
7.5,81.36,81.44
14.61,81.4,100.0
9.52,75.06,85.43
5.89,92.63,76.4
2.6,66.92,48.01
3.12,75.19,57.47
4.15,79.2,54.06
4.51,84.86,55.44
12.91,90.28,100.0
8.86,72.77,89.68
8.33,84.07,93.78
2.61,61.78,53.08
13.04,96.97,100.0
11.12,72.24,82.81
1.95,87.83,41.94
10.91,55.92,79.44
8.61,64.23,74.17
2.14,76.92,55.68
7.42,94.52,88.68
7.79,78.73,79.43
3.32,96.84,60.58
14.24,76.77,100.0
12.9,77.07,100.0
10.37,60.39,85.51
7.47,91.12,84.88
6.76,66.11,61.71
10.11,95.48,100.0
8.64,95.99,93.3
1.87,97.45,52.73
8.18,78.41,76.16
12.29,85.47,100.0
7.43,90.03,80.99
1.73,60.9,47.03
12.01,82.04,100.0
3.82,56.54,44.93
4.62,77.39,61.75
3.31,61.97,47.83
5.62,63.23,56.09
11.59,71.43,89.12
8.27,74.46,82.09
3.87,83.04,65.09
13.29,58.35,98.64
13.31,77.67,100.0
13.19,63.22,94.84
4.34,80.83,70.5
7.32,83.68,73.92
14.79,80.05,100.0
11.81,88.22,94.35
1.38,70.1,39.72
1.91,89.43,51.76
7.5,74.47,77.34
13.73,76.79,100.0
8.54,84.16,78.83
7.97,55.83,65.8
2.48,84.43,52.74
10.19,82.84,83.51
12.51,68.94,92.11
6.33,58.86,57.21
11.86,59.09,96.01
14.5,96.55,100.0
3.85,86.02,65.58
8.33,60.72,64.5
5.02,71.05,66.6
12.1,81.66,100.0
9.09,92.6,81.74
9.88,56.96,74.38
12.17,65.65,96.16
6.54,95.04,83.46
13.81,55.41,93.37
8.46,64.06,72.82
3.21,98.16,62.15
10.74,82.6,95.57
12.11,66.78,99.9
5.43,58.01,52.33
13.0,56.27,98.14
13.69,66.01,97.53
4.88,94.67,67.48
14.77,73.72,100.0
2.97,87.42,63.17
3.83,96.32,71.56
3.58,73.36,48.0
13.52,63.61,97.05
10.16,78.27,94.05
3.13,95.86,63.79
7.16,91.2,76.05
9.61,57.96,79.34
2.17,86.17,50.35
13.35,80.74,100.0
12.25,95.84,100.0
8.07,60.51,73.64
14.54,79.03,100.0
6.85,94.58,81.86
14.78,73.45,100.0
10.35,76.69,97.49
9.89,58.17,79.74
3.32,67.52,49.1
13.35,69.6,93.01
6.98,97.53,83.27
3.27,67.72,54.33
1.18,75.74,48.48
8.84,85.21,89.31
8.38,62.3,70.36
11.07,76.89,83.92
13.46,88.23,100.0
2.11,94.01,56.04
11.24,83.18,96.23
3.62,85.11,63.77
13.01,60.68,100.0
12.47,97.56,100.0
8.57,60.97,72.25
10.94,89.86,98.35
5.4,66.92,61.08
7.6,97.01,82.35
12.5,87.4,100.0
7.43,88.92,83.86
6.01,64.86,63.52
7.92,74.94,79.35
12.6,82.8,100.0
5.69,89.65,64.43
3.43,59.68,50.19
10.97,98.31,100.0
12.56,95.06,100.0
2.41,67.17,40.11
4.36,92.02,69.97
2.99,78.32,52.99
5.87,75.78,58.84
7.3,69.15,73.49
11.48,81.14,90.79
10.12,87.85,95.2
9.69,73.49,86.4
5.93,83.31,75.75
12.78,86.47,100.0
7.6,87.0,74.67
14.71,57.34,100.0
9.88,93.69,94.85
2.77,75.62,53.82
10.47,66.81,86.82
5.55,65.88,58.93
10.61,76.74,89.21
1.97,94.91,51.75
3.45,72.03,58.19
12.98,88.74,100.0
4.18,59.36,55.17
12.72,76.42,100.0
4.91,99.63,71.08
10.0,89.67,89.45
10.72,64.47,87.62
8.18,77.56,74.47
5.27,65.51,68.37
3.98,73.43,50.06
1.46,90.1,53.74
5.26,89.71,78.96
10.14,65.26,86.35
14.14,96.5,100.0
13.2,81.67,100.0
11.72,72.1,87.76
12.04,77.59,100.0
10.31,82.23,100.0
4.64,80.2,61.12
13.7,76.89,100.0
10.39,77.72,78.52
8.85,62.94,70.8
2.55,91.57,57.99
7.26,79.38,83.98
7.45,60.9,71.04
13.1,89.48,100.0
8.65,96.96,89.74
6.33,97.63,77.53
14.68,71.61,100.0
2.55,61.1,44.3
6.92,78.33,63.23
1.59,60.07,34.61
11.36,97.03,100.0
13.85,63.26,98.16
4.92,66.37,60.6
13.02,73.3,100.0
5.09,72.24,61.19
13.75,90.76,100.0
11.56,75.53,92.06
12.27,62.68,100.0
1.25,67.02,36.42
14.48,77.91,100.0
11.17,61.64,85.28
5.27,82.52,68.21
12.61,80.46,100.0
4.94,87.16,70.46
13.22,97.2,100.0
2.58,96.05,55.29
10.85,97.57,100.0
8.57,66.01,73.44
2.35,60.92,45.71
4.39,68.6,48.2
1.17,95.28,52.11
7.56,98.74,86.55
5.22,93.67,75.29
9.38,59.95,63.25
5.16,97.63,75.45
5.2,74.05,57.27
11.4,55.42,86.35
1.67,74.91,40.64
13.64,57.07,92.46
12.93,79.47,100.0
10.35,70.23,81.6
9.31,76.3,82.3
13.49,82.59,100.0
3.59,94.1,55.86
2.11,84.79,58.01
4.35,74.53,52.55
12.12,91.87,100.0
1.49,95.75,59.07
9.16,60.39,72.92
14.94,78.94,100.0
12.98,67.8,99.93
8.3,57.12,75.65
1.89,85.08,46.15
12.64,93.82,100.0
9.39,62.33,69.43
2.61,91.56,56.86
2.31,93.4,58.44
13.73,96.15,100.0
10.37,66.94,83.03
12.61,95.68,100.0
13.31,69.43,100.0
9.0,79.86,90.23
8.24,57.27,64.37
7.03,56.97,60.5
5.44,87.42,73.41
7.08,75.0,78.98
11.83,66.53,84.97
9.43,63.57,78.08
13.5,85.15,100.0
7.21,55.02,63.04
9.5,91.27,80.74
9.84,58.57,80.98
9.28,63.62,85.82
10.84,72.38,90.96
4.32,76.82,54.87
8.17,70.97,73.79
2.46,69.43,55.86
6.38,98.38,85.65
7.83,83.87,84.27
10.13,56.05,80.47
14.31,74.36,100.0
9.41,94.38,93.23
11.41,68.57,90.94
8.09,59.26,72.81
9.88,89.13,100.0
1.99,82.27,56.69
4.56,80.66,56.04
6.07,57.41,60.16
7.61,61.32,72.42
1.64,83.01,52.8
2.96,64.35,43.83
4.88,77.68,77.79
14.6,79.52,100.0
5.64,67.76,56.66
7.75,97.68,88.75
3.75,92.91,75.77
9.55,87.51,87.33
4.93,58.51,52.57
3.9,59.78,54.76
8.23,77.18,79.66
1.08,62.23,34.83
1.11,99.02,57.88
4.07,62.13,52.76
1.51,76.94,51.19
2.51,71.39,54.71
5.74,83.77,72.14
12.24,60.81,93.04
9.01,74.36,83.3
8.18,67.36,77.01
5.11,94.95,73.29
14.04,56.83,98.63
6.56,96.12,86.83
2.22,92.48,64.92
9.64,68.39,74.85
2.59,90.52,58.28
5.83,56.4,53.92
8.1,98.51,88.22
13.24,78.7,100.0
7.91,68.65,77.22
10.83,71.32,89.26
14.9,57.99,93.92
2.84,99.52,59.14
4.85,56.77,57.1
6.52,84.47,61.15
6.91,74.92,77.93
6.75,97.7,85.23
13.71,66.07,100.0
11.0,78.94,93.46
9.51,76.71,75.6
5.33,86.63,72.12
12.53,58.06,98.07
14.37,63.72,100.0
12.5,64.66,91.5
1.02,88.22,49.65
9.91,63.51,78.64
